Player,Year,Position,Team,Games Played,Fantasy Points,Fantasy PPG,Targets,Receptions,Carries,TDs,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Michael Crabtree (FA),2016,WR,LV,16.0,239.3,15.0,145.0,89.0,0.0,8.0,,,,24.0,
Sam LaPorta (DET),2023,TE,DET,17.0,239.3,14.1,120.0,86.0,nan,10.0,,,,24.0,
Tyreek Hill (MIA),2017,WR,KC,15.0,239.2,15.9,105.0,75.0,59.0,7.0,,,,6.0,
T.Y. Hilton (FA),2018,WR,IND,14.0,239.0,17.1,120.0,76.0,0.0,6.0,,,,18.0,
DJ Moore (CHI),2024,WR,CAR,17.0,238.1,14.0,140.0,98.0,75.0,6.0,,,,12.0,
Dalvin Cook (FA),2022,RB,,17.0,237.8,14.0,56.0,39.0,264.0,10.0,,,,56.0,
Jarvis Landry (FA),2019,WR,CLE,16.0,237.4,14.8,138.0,83.0,10.0,6.0,,,,21.0,
Gary Barnidge (FA),2015,TE,CLE,16.0,237.3,14.8,125.0,79.0,nan,9.0,,,,24.0,
Tyler Lockett (TEN),2022,WR,SEA,16.0,237.3,14.8,117.0,84.0,0.0,9.0,,,,10.0,
Amari Cooper (FA),2020,WR,DAL,16.0,236.8,14.8,130.0,92.0,14.0,5.0,,,,17.0,
Amari Cooper (FA),2021,WR,DAL,15.0,236.8,14.8,104.0,68.0,14.0,5.0,,,,21.0,
George Kittle (SF),2024,TE,SF,15.0,236.6,15.8,94.0,78.0,nan,8.0,,,,21.0,
Tyler Lockett (TEN),2019,WR,SEA,16.0,235.2,14.7,110.0,82.0,-5.0,8.0,,,,28.0,
Alvin Kamara (NO),2021,RB,,13.0,234.7,18.1,67.0,47.0,240.0,9.0,,,,56.0,
Cordarrelle Patterson (FA),2021,RB,,16.0,234.6,14.7,69.0,52.0,153.0,11.0,,,,45.0,
JuJu Smith-Schuster (KC),2020,WR,PIT,16.0,234.1,14.6,128.0,97.0,0.0,9.0,,,,24.0,
JuJu Smith-Schuster (KC),2021,WR,PIT,5.0,234.1,14.6,28.0,15.0,0.0,9.0,,,,1.0,
Tarik Cohen (FA),2018,RB,,16.0,233.9,14.6,91.0,71.0,99.0,8.0,,,,26.0,
Travis Kelce (KC),2017,TE,KC,15.0,233.5,15.6,122.0,83.0,nan,8.0,,,,21.0,
Alvin Kamara (NO),2023,RB,,13.0,233.0,17.9,86.0,75.0,180.0,6.0,,,,49.0,
Robert Woods (PIT),2019,WR,LA,15.0,232.9,15.5,139.0,90.0,115.0,2.0,,,,14.0,
LeGarrette Blount (FA),2016,RB,,16.0,232.9,14.6,8.0,7.0,299.0,18.0,,,,81.0,
Mike Evans (TB),2019,WR,TB,13.0,232.7,17.9,118.0,67.0,0.0,8.0,,,,19.0,
James Cook (BUF),2023,RB,,17.0,232.7,13.7,54.0,44.0,237.0,6.0,,,,46.0,
Chris Carson (FA),2019,RB,,15.0,232.6,15.5,47.0,37.0,278.0,9.0,,,,43.0,
Amari Cooper (FA),2016,WR,LV,16.0,232.3,14.5,132.0,83.0,0.0,5.0,,,,16.0,
Doug Martin (FA),2015,RB,,16.0,232.3,14.5,44.0,33.0,288.0,7.0,,,,46.0,
Brandin Cooks (NO),2020,WR,HOU,15.0,232.0,15.5,119.0,81.0,0.0,6.0,,,,11.0,
Brandin Cooks (NO),2021,WR,HOU,16.0,232.0,15.5,134.0,90.0,0.0,6.0,,,,10.0,
Lamar Miller (FA),2015,RB,,16.0,231.9,14.5,57.0,47.0,194.0,10.0,,,,23.0,
DeAngelo Williams (FA),2015,RB,,16.0,231.4,14.5,47.0,40.0,200.0,11.0,,,,14.0,
Chris Olave (NO),2023,WR,NO,16.0,231.3,14.5,138.0,87.0,0.0,5.0,,,,13.0,
Josh Jacobs (GB),2020,RB,,15.0,231.3,15.4,45.0,33.0,273.0,12.0,,,,68.0,
